# time, Cp, dv, du, dq, dT, T
202500,7.48051,4e-06,-0.00176,-0.001728,-0.000231,0.900717
402500,4.32432,-3.9e-05,-0.00182,-0.00213189,-0.000493,0.900224
602500,8.92951,-4e-05,-0.00235,-0.00266992,-0.000299,0.899925
802500,3.46228,-2e-05,-0.00145,-0.00160996,-0.000465,0.89946
1002500,5.48394,-2.1e-05,-0.00219,-0.00235809,-0.00043,0.89903
1202500,2.88962,7e-06,-0.00168,-0.00162396,-0.000562,0.898468
1402500,7.51373,-5.5e-05,-0.00225,-0.00268992,-0.000358,0.89811
1602500,6.21087,-3.9e-05,-0.00175,-0.00206201,-0.000332,0.897778
1802500,8.13646,-1.2e-05,-0.00193,-0.00202598,-0.000249,0.897529
2002500,5.56565,-8e-06,-0.00214,-0.002204,-0.000396,0.897133
2202500,6.13024,-2.8e-05,-0.00194,-0.00216397,-0.000353,0.89678
2402500,3.37179,-3.7e-05,-0.0017,-0.0019961,-0.000592,0.896188
2602500,7.40561,2.3e-05,-0.00265,-0.00246607,-0.000333,0.895855
2802500,5.16646,-7.6e-05,-0.00227,-0.00287772,-0.000557,0.895298
3002500,5.72817,-1.7e-05,-0.00117,-0.00130602,-0.000228,0.89507
3202500,3.50607,-1.9e-05,-0.00158,-0.001732,-0.000494,0.894576
3402500,6.00052,-6.7e-05,-0.001,-0.00153613,-0.000256,0.89432
3602500,5.30795,4e-06,-0.0031,-0.003068,-0.000578,0.893742
3802500,9.92768,-1.5e-05,-0.00263,-0.00274997,-0.000277,0.893465
4002500,5.21182,-7.2e-05,-0.00167,-0.0022463,-0.000431,0.893034
4202500,4.38181,3e-06,-0.00147,-0.001446,-0.00033,0.892704
4402500,4.11128,-1.4e-05,-0.00277,-0.00288201,-0.000701,0.892003
4602500,7.44407,-2.8e-05,-0.00122,-0.00144415,-0.000194,0.891809
4802500,5.10837,-3.1e-05,-0.00131,-0.00155805,-0.000305,0.891504
5002500,4.88841,-9e-06,-0.00247,-0.00254198,-0.00052,0.890984
5202500,5.41571,-3.6e-05,-0.00203,-0.00231792,-0.000428,0.890556
5402500,6.30109,-2.8e-05,-0.00258,-0.00280398,-0.000445,0.890111
5602500,4.0856,2e-06,-0.00183,-0.00181401,-0.000444,0.889667
5802500,8.31794,-4.8e-05,-0.00202,-0.00240388,-0.000289,0.889378
6002500,8.82011,-4.1e-05,-0.00178,-0.00210801,-0.000239,0.889139
6202500,5.00873,-3.8e-05,-0.00201,-0.00231403,-0.000462,0.888677
6402500,4.77014,-5e-06,-0.00162,-0.00166001,-0.000348,0.888329
6602500,2.86831,-1.8e-05,-0.00164,-0.00178409,-0.000622,0.887707
6802500,7.39695,-1.3e-05,-0.0023,-0.00240401,-0.000325,0.887382
7002500,7.5059,-4e-05,-0.00281,-0.00312996,-0.000417,0.886965
7202500,5.04947,-1.6e-05,-0.00171,-0.00183801,-0.000364,0.886601
7402500,6.01989,-6.1e-05,-0.00142,-0.00190831,-0.000317,0.886284
7602500,5.04661,1.6e-05,-0.00251,-0.002382,-0.000472,0.885812
7802500,7.40492,-3.8e-05,-0.00211,-0.002414,-0.000326,0.885486
8002500,3.54413,-3.2e-05,-0.00203,-0.00228596,-0.000645,0.884841
8202500,3.78453,-1.7e-05,-0.00148,-0.001616,-0.000427,0.884414
8402500,10.7055,-2.1e-05,-0.00223,-0.00239804,-0.000224,0.88419
8602500,5.48596,-4.1e-05,-0.00185,-0.00217793,-0.000397,0.883793
8802500,10.1969,0,-0.00259,-0.00259,-0.000254,0.883539
9002500,3.75128,-6.1e-05,-0.00147,-0.00195817,-0.000522,0.883017
9202500,7.96885,-3.4e-05,-0.00278,-0.00305207,-0.000383,0.882634
9402500,4.30968,-2.1e-05,-0.00128,-0.00144805,-0.000336,0.882298
9602500,6.04798,-1.3e-05,-0.00217,-0.00227404,-0.000376,0.881922
9802500,4.3407,-4e-06,-0.00193,-0.001962,-0.000452,0.88147
10002500,5.4246,-3.8e-05,-0.00192,-0.00222409,-0.00041,0.88106
10202500,6.86865,-3.5e-05,-0.00165,-0.00193009,-0.000281,0.880779
10402500,4.63619,-3.4e-05,-0.00206,-0.00233201,-0.000503,0.880276
10602500,4.28165,-1.1e-05,-0.00198,-0.00206804,-0.000483,0.879793
10802500,5.47594,-2.8e-05,-0.00218,-0.00240394,-0.000439,0.879354
11002500,10.7735,-1.1e-05,-0.00253,-0.00261795,-0.000243,0.879111
11202500,5.2788,-4.6e-05,-0.00111,-0.00147806,-0.00028,0.878831
11402500,4.12776,2e-06,-0.00189,-0.001874,-0.000454,0.878377
11602500,3.00027,-3.4e-05,-0.00175,-0.00202218,-0.000674,0.877703
11802500,7.8978,-3e-05,-0.00254,-0.00278002,-0.000352,0.877351
12002500,6.35228,-4e-05,-0.00217,-0.00249009,-0.000392,0.876959
12202500,7.35501,-1.2e-05,-0.00239,-0.00248599,-0.000338,0.876621
12402500,6.17149,-1.3e-05,-0.00184,-0.00194402,-0.000315,0.876306
12602500,2.63001,-4e-05,-0.00074,-0.00105989,-0.000403,0.875903
12802500,9.57775,-2.5e-05,-0.0032,-0.0034001,-0.000355,0.875548
13002500,4.59128,4e-06,-0.00202,-0.00198802,-0.000433,0.875115
13202500,2.7652,-3.5e-05,-0.00131,-0.00158999,-0.000575,0.87454
13402500,9.2234,-4.1e-05,-0.00302,-0.00334809,-0.000363,0.874177
13602500,6.00567,-3.6e-05,-0.00197,-0.00225813,-0.000376,0.873801
13802500,5.62142,-2e-05,-0.00183,-0.00198998,-0.000354,0.873447
14002500,5.32633,-3.1e-05,-0.00233,-0.00257794,-0.000484,0.872963
14202500,4.72034,-1.5e-05,-0.00123,-0.00135002,-0.000286,0.872677
14402500,5.90978,-2.8e-05,-0.00227,-0.00249393,-0.000422,0.872255
14602500,6.75092,-1.9e-05,-0.00215,-0.00230207,-0.000341,0.871914
14802500,6.53376,-7.7e-05,-0.00254,-0.00315581,-0.000483,0.871431
15002500,5.37235,5e-06,-0.00206,-0.00202,-0.000376,0.871055
15202500,5.13892,-1.7e-05,-0.00175,-0.00188598,-0.000367,0.870688
15402500,4.50929,-4.5e-05,-0.00189,-0.00225013,-0.000499,0.870189
15602500,4.31896,7e-06,-0.00206,-0.002004,-0.000464,0.869725
15802500,3.94043,-5.8e-05,-0.00125,-0.00171409,-0.000435,0.86929
16002500,12.2488,-1.3e-05,-0.00275,-0.00285397,-0.000233,0.869057
16202500,5.11391,-3.8e-05,-0.00167,-0.00197397,-0.000386,0.868671
16402500,7.02718,3e-06,-0.00287,-0.00284601,-0.000405,0.868266
16602500,4.21951,-3.5e-05,-0.00164,-0.00191988,-0.000455,0.867811
16802500,5.18966,-4.2e-05,-0.00229,-0.00262597,-0.000506,0.867305
17002500,13.13,-3.8e-05,-0.00244,-0.00274416,-0.000209,0.867096
17202500,5.49693,-1.6e-05,-0.00256,-0.002688,-0.000489,0.866607
17402500,4.48539,-2.4e-05,-0.00149,-0.00168202,-0.000375,0.866232
17602500,3.8522,-2.5e-05,-0.00131,-0.00151006,-0.000392,0.86584
17802500,5.9629,-1.5e-05,-0.00245,-0.00257001,-0.000431,0.865409
18002500,5.51547,-2.8e-05,-0.0026,-0.00282392,-0.000512,0.864897
18202500,3.68232,-1.1e-05,-0.00186,-0.00194795,-0.000529,0.864368
18402500,-15.6033,-5.1e-05,-0.00148,-0.00188801,0.000121,0.864489
18602500,4.89734,-5.2e-05,-0.00264,-0.00305594,-0.000624,0.863865
18802500,4.03119,5e-06,-0.00185,-0.00181,-0.000449,0.863416
19002500,4.39773,-5.4e-05,-0.00134,-0.00177229,-0.000403,0.863013
19202500,5.91771,2.1e-05,-0.00218,-0.00201202,-0.00034,0.862673
19402500,4.76266,-3.1e-05,-0.0017,-0.00194793,-0.000409,0.862264
19602500,5.39603,-4.1e-05,-0.00264,-0.00296782,-0.00055,0.861714
19802500,6.59072,1e-06,-0.00157,-0.001562,-0.000237,0.861477
20002500,7.8618,-3.5e-05,-0.00222,-0.00250005,-0.000318,0.861159
20202500,4.87582,-6e-05,-0.00207,-0.00255006,-0.000523,0.860636
20402500,9.57547,-2.2e-05,-0.00262,-0.00279604,-0.000292,0.860344
20602500,6.8369,-2.4e-05,-0.0027,-0.00289201,-0.000423,0.859921
20802500,3.33463,-2.8e-05,-0.00142,-0.00164397,-0.000493,0.859428
21002500,4.7234,-1.2e-05,-0.00168,-0.001776,-0.000376,0.859052
21202500,5.83704,5e-06,-0.00269,-0.00265001,-0.000454,0.858598
21402500,6.70187,-6e-05,-0.00141,-0.00188993,-0.000282,0.858316
21602500,6.6515,-4.9e-05,-0.00308,-0.00347208,-0.000522,0.857794
21802500,2.83748,-1.2e-05,-0.0009,-0.000995956,-0.000351,0.857443
22002500,5.45135,4e-06,-0.00188,-0.00184801,-0.000339,0.857104
22202500,6.60076,-2.7e-05,-0.00321,-0.0034258,-0.000519,0.856585
22402500,4.66814,-3.5e-05,-0.00155,-0.00182991,-0.000392,0.856193
22602500,10.5673,-3.3e-05,-0.00279,-0.00305396,-0.000289,0.855904
22802500,3.43411,-4.6e-05,-0.0015,-0.00186816,-0.000544,0.85536
23002500,3.03059,4e-06,-0.00132,-0.001288,-0.000425,0.854935
23202500,9.22282,-6e-05,-0.00284,-0.00332022,-0.00036,0.854575
23402500,6.06443,-1.8e-05,-0.00193,-0.00207403,-0.000342,0.854233
23602500,5.2483,-1.8e-05,-0.00237,-0.00251393,-0.000479,0.853754
23802500,4.52071,-4e-06,-0.00193,-0.00196199,-0.000434,0.85332
24002500,10.6775,-7.8e-05,-0.00196,-0.00258395,-0.000242,0.853078
24202500,3.25452,1.7e-05,-0.00176,-0.00162401,-0.000499,0.852579
24402500,6.69168,-3.8e-05,-0.00256,-0.00286404,-0.000428,0.852151
24602500,4.10066,-3e-06,-0.00185,-0.001874,-0.000457,0.851694
24802500,9.85322,-7.1e-05,-0.00224,-0.00280817,-0.000285,0.851409
25002500,4.16267,-6e-06,-0.00205,-0.00209799,-0.000504,0.850905
25202500,8.79936,-4.4e-05,-0.0022,-0.00255181,-0.00029,0.850615
25402500,3.44768,0,-0.00201,-0.00201,-0.000583,0.850032
25602500,9.92666,-2e-06,-0.00188,-0.00189599,-0.000191,0.849841
25802500,10.056,-8.7e-05,-0.00224,-0.00293635,-0.000292,0.849549
26002500,3.70514,-1.6e-05,-0.00158,-0.00170807,-0.000461,0.849088
26202500,6.15484,-1.4e-05,-0.00251,-0.00262196,-0.000426,0.848662
26402500,6.13204,-3.7e-05,-0.00239,-0.00268583,-0.000438,0.848224
26602500,6.78193,-2.1e-05,-0.00285,-0.00301796,-0.000445,0.847779
26802500,5.10685,-1.3e-05,-0.00152,-0.00162398,-0.000318,0.847461
27002500,6.0589,-7.1e-05,-0.00234,-0.00290827,-0.00048,0.846981
27202500,4.40253,-5e-06,-0.00136,-0.00140001,-0.000318,0.846663
27402500,7.21901,-5.6e-05,-0.00249,-0.00293814,-0.000407,0.846256
27602500,4.01781,-3e-06,-0.00178,-0.001804,-0.000449,0.845807
27802500,4.62961,-3.3e-05,-0.00181,-0.00207406,-0.000448,0.845359
28002500,6.1254,-2.3e-05,-0.00226,-0.00244403,-0.000399,0.84496
28202500,9.84148,-9e-06,-0.00229,-0.00236195,-0.00024,0.84472
28402500,6.55422,-4.9e-05,-0.00202,-0.00241195,-0.000368,0.844352
28602500,4.53194,-3.6e-05,-0.0022,-0.00248804,-0.000549,0.843803
28802500,5.79881,-5e-06,-0.00192,-0.00196,-0.000338,0.843465
29002500,6.36011,-2.7e-05,-0.00194,-0.00215608,-0.000339,0.843126
29202500,6.3163,-2.2e-05,-0.00242,-0.002596,-0.000411,0.842715
29402500,6.37269,4e-06,-0.00311,-0.00307801,-0.000483,0.842232
29602500,5.21034,-6.1e-05,-0.00194,-0.00242802,-0.000466,0.841766
29802500,5.10378,-2.6e-05,-0.00215,-0.00235794,-0.000462,0.841304
30002500,8.28767,-4.2e-05,-0.00162,-0.00195589,-0.000236,0.841068
30202500,4.69826,-3e-05,-0.00264,-0.00288003,-0.000613,0.840455
30402500,9.65234,-4.7e-05,-0.00279,-0.00316597,-0.000328,0.840127
30602500,6.20947,-1.9e-05,-0.00281,-0.00296192,-0.000477,0.83965
30802500,4.40401,-1.5e-05,-0.00121,-0.00133001,-0.000302,0.839348
31002500,7.64616,-2.6e-05,-0.0023,-0.00250794,-0.000328,0.83902
31202500,3.35634,-3.6e-05,-0.00138,-0.0016681,-0.000497,0.838523
